time,direction,type,display_name,user_id,text
2025-08-21T21:41:56,in,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,住宿
2025-08-21T21:41:57,out,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,"🏨 入住 15:00、退房 11:00。可行李寄放、嬰兒床與加床（需預約）。
🔗 點此預約：https://your-hotel.com/booking"
2025-08-21T21:42:00,in,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,餐飲
2025-08-21T21:42:01,out,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,🍽 早餐 06:30–10:00（2F 自助），晚餐 17:30–21:30，提供素食（請提前告知）。
2025-08-21T21:42:03,in,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,停車場
2025-08-21T21:42:04,out,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,"🏨 飯店設施
• 免費 Wi-Fi（全館）
• 24 小時櫃檯與行李寄放
• B2–B4 住客免費停車（車高 ≤ 2.0 m）
• 健身房 06:00–22:00（3F）
• 自助洗衣 24H（B1，投幣式）
• 商務中心 08:00–22:00（2F）
• 無障礙客房 2 間（需預約）
• 溫水游泳池 06:00–22:00（10F）"
2025-08-21T21:42:08,in,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,聯絡資訊
2025-08-21T21:42:09,out,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,☎️ 電話：07-xxx-xxxx｜Email：hotel@example.com｜飯店提供中文與英文服務｜櫃檯 24 小時服務
2025-08-21T21:42:24,in,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,附近哪裡可以停車
2025-08-21T21:42:28,out,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,"🏨 飯店設施
• 免費 Wi-Fi（全館）
• 24 小時櫃檯與行李寄放
• B2–B4 住客免費停車（車高 ≤ 2.0 m）
• 健身房 06:00–22:00（3F）
• 自助洗衣 24H（B1，投幣式）
• 商務中心 08:00–22:00（2F）
• 無障礙客房 2 間（需預約）
• 溫水游泳池 06:00–22:00（10F）"
2025-08-21T21:42:42,in,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,周邊景點有什麼
2025-08-21T21:43:02,out,text,Colette 小酌玥岑,U390c27b3ed7e1d88f763b6af40f966ca,思偉達飯店位於台北市中正區博愛路80號，鄰近西門町。您可以前往西門紅樓、總統府、以及台北車站周邊的購物區。此外，二二八和平公園也是一個值得一訪的景點。希望這些建議對您有幫助！
